Player,Rk,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G,Rk_2,Tm_2,2018-19
Andre Iguodala\iguodan01,234,SF,34.0,GSW,64.0,7.0,25.3,2.3,5.0,0.46299999999999997,0.5,1.8,0.282,1.8,3.2,0.5670000000000001,0.514,0.9,1.4,0.632,0.8,3.1,3.8,3.3,0.8,0.6,1.0,1.5,6.0,71,GSW,16000000.0
Andrew Wiggins\wiggian01,514,SF,22.0,MIN,82.0,82.0,36.3,6.9,15.9,0.43799999999999994,1.4,4.1,0.331,5.6,11.7,0.475,0.48100000000000004,2.5,3.8,0.643,1.0,3.4,4.4,2.0,1.1,0.6,1.7,2.0,17.7,21,MIN,25467250.0
Bojan Bogdanovic\bogdabo02,55,SF,28.0,IND,80.0,80.0,30.8,5.1,10.7,0.474,1.9,4.8,0.402,3.1,5.8,0.534,0.565,2.2,2.6,0.868,0.4,3.0,3.4,1.5,0.7,0.1,1.3,1.6,14.3,129,IND,10500000.0
C.J. Miles\milescj01,337,SF,30.0,TOR,70.0,3.0,19.1,3.2,8.6,0.379,2.3,6.5,0.361,0.9,2.1,0.434,0.516,1.2,1.4,0.835,0.3,1.9,2.2,0.8,0.5,0.3,0.6,1.9,10.0,155,TOR,8333333.0
Chandler Parsons\parsoch01,392,SF,29.0,MEM,36.0,8.0,19.2,3.0,6.5,0.462,1.4,3.4,0.42100000000000004,1.6,3.1,0.504,0.5710000000000001,0.5,0.8,0.63,0.4,2.1,2.5,1.9,0.5,0.3,1.0,1.5,7.9,32,MEM,24107258.0
Danilo Gallinari\gallida01,168,SF,29.0,LAC,21.0,21.0,32.0,4.9,12.2,0.39799999999999996,1.7,5.3,0.324,3.1,6.9,0.455,0.469,3.9,4.1,0.9309999999999999,0.4,4.4,4.8,2.0,0.6,0.5,1.2,1.4,15.3,41,LAC,21587579.0
Dante Cunningham\cunnida01,119,SF,30.0,TOT,73.0,25.0,21.4,2.2,5.0,0.451,0.8,2.3,0.345,1.5,2.7,0.541,0.53,0.4,0.7,0.596,1.1,3.0,4.1,0.7,0.5,0.4,0.5,1.5,5.7,292,SAS,2500000.0
Darius Miller\milleda01,338,SF,27.0,NOP,82.0,3.0,23.7,2.6,5.9,0.444,1.8,4.4,0.41100000000000003,0.8,1.6,0.535,0.594,0.7,0.8,0.866,0.2,1.8,2.0,1.4,0.3,0.2,0.7,2.0,7.8,323,NOP,2205000.0
DeMarre Carroll\carrode01,86,SF,31.0,BRK,73.0,73.0,29.9,4.5,10.8,0.414,2.0,5.4,0.371,2.5,5.4,0.457,0.506,2.6,3.4,0.764,1.4,5.1,6.6,2.0,0.8,0.4,1.4,2.3,13.5,75,BRK,15400000.0
Doug McDermott\mcderdo01,326,SF,26.0,TOT,81.0,4.0,21.8,2.9,6.3,0.467,1.1,2.7,0.426,1.8,3.6,0.49700000000000005,0.557,0.8,1.0,0.79,0.5,2.0,2.5,1.0,0.2,0.2,0.7,1.5,7.8,168,IND,7333334.0
Evan Fournier\fournev01,163,SF,25.0,ORL,57.0,57.0,32.2,6.5,14.1,0.45899999999999996,2.2,5.9,0.379,4.2,8.2,0.516,0.5379999999999999,2.6,3.0,0.867,0.4,2.8,3.2,2.9,0.8,0.3,1.7,2.4,17.8,65,ORL,17000000.0
Evan Turner\turneev01,485,SF,29.0,POR,79.0,40.0,25.7,3.3,7.3,0.447,0.5,1.7,0.318,2.7,5.6,0.485,0.484,1.2,1.4,0.85,0.4,2.7,3.1,2.2,0.6,0.4,1.3,2.1,8.2,60,POR,17868852.0
Glenn Robinson\robingl02,431,SF,24.0,IND,23.0,1.0,14.7,1.6,3.7,0.424,0.6,1.5,0.41200000000000003,1.0,2.2,0.431,0.506,0.4,0.5,0.818,0.5,1.1,1.6,0.7,0.6,0.0,0.2,0.6,4.1,233,DET,4075000.0
Gordon Hayward\haywago01,207,SF,27.0,BOS,1.0,1.0,5.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,6,BOS,31214295.0
Jae Crowder\crowdja01,118,SF,27.0,TOT,80.0,47.0,26.1,3.4,8.4,0.40399999999999997,1.4,4.3,0.32299999999999995,2.0,4.1,0.488,0.486,1.5,1.9,0.818,0.7,2.7,3.4,1.2,0.8,0.3,0.9,2.3,9.7,169,UTA,7305825.0
James Ennis\ennisja01,148,SF,27.0,TOT,72.0,22.0,22.3,2.5,5.3,0.474,0.7,2.1,0.33299999999999996,1.8,3.2,0.5670000000000001,0.54,1.3,1.6,0.836,1.0,2.1,3.1,1.0,0.7,0.3,0.8,1.9,7.1,375,HOU,1621415.0
Joe Ingles\inglejo01,236,SF,30.0,UTA,82.0,81.0,31.4,4.1,8.8,0.467,2.5,5.7,0.44,1.6,3.1,0.516,0.609,0.8,1.0,0.795,0.3,3.9,4.2,4.8,1.1,0.2,1.9,2.2,11.5,96,UTA,13045455.0
Kawhi Leonard\leonaka01,293,SF,26.0,SAS,9.0,9.0,23.3,5.8,12.3,0.46799999999999997,1.2,3.9,0.314,4.6,8.4,0.539,0.518,3.4,4.2,0.816,0.7,4.0,4.7,2.3,2.0,1.0,1.8,1.0,16.2,36,TOR,23114067.0
Khris Middleton\middlkh01,336,SF,26.0,MIL,82.0,82.0,36.4,7.2,15.5,0.466,1.8,5.0,0.359,5.5,10.5,0.517,0.524,3.9,4.4,0.884,0.5,4.7,5.2,4.0,1.5,0.3,2.3,3.3,20.1,97,MIL,13000000.0
Kyle Anderson\anderky01,13,SF,24.0,SAS,74.0,67.0,26.7,3.1,5.9,0.527,0.3,0.8,0.33299999999999996,2.9,5.1,0.556,0.5489999999999999,1.4,2.0,0.7120000000000001,1.1,4.2,5.4,2.7,1.6,0.8,1.3,1.5,7.9,148,MEM,8641000.0
Kyle Singler\singlky01,453,SF,29.0,OKC,12.0,0.0,4.9,0.6,1.8,0.33299999999999996,0.2,0.4,0.4,0.4,1.3,0.313,0.381,0.6,1.1,0.5379999999999999,0.1,0.8,0.8,0.2,0.1,0.0,0.3,0.3,1.9,454,OKC,999200.0
Luol Deng\denglu01,129,SF,32.0,LAL,1.0,1.0,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,86,LAL,14354067.0
Luol Deng\denglu01,129,SF,32.0,LAL,1.0,1.0,13.0,1.0,2.0,0.5,0.0,0.0,,1.0,2.0,0.5,0.5,0.0,0.0,,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,2.0,303,MIN,2393887.0
Maurice Harkless\harklma01,195,SF,24.0,POR,59.0,36.0,21.4,2.5,5.0,0.495,0.8,2.0,0.415,1.7,3.0,0.547,0.5770000000000001,0.7,1.0,0.7120000000000001,0.8,2.0,2.7,0.9,0.8,0.7,0.7,1.7,6.5,125,POR,10837079.0
Michael Kidd-Gilchrist\kiddgmi01,273,SF,24.0,CHO,74.0,74.0,25.0,3.8,7.6,0.504,0.0,0.0,0.0,3.8,7.5,0.505,0.504,1.6,2.3,0.684,1.1,2.9,4.1,1.0,0.7,0.4,0.7,1.9,9.2,98,CHO,13000000.0
Omri Casspi\casspom01,90,SF,29.0,GSW,53.0,7.0,14.0,2.3,3.9,0.58,0.2,0.4,0.455,2.1,3.5,0.595,0.604,0.9,1.3,0.725,0.6,3.2,3.8,1.0,0.3,0.4,0.7,1.3,5.7,325,MEM,2176260.0
Otto Porter\porteot01,409,SF,24.0,WAS,77.0,77.0,31.6,5.8,11.5,0.503,1.8,4.1,0.441,4.0,7.4,0.537,0.581,1.4,1.7,0.828,1.3,5.1,6.4,2.0,1.5,0.5,1.0,2.0,14.7,17,WAS,26011913.0
Paul George\georgpa01,173,SF,27.0,OKC,79.0,79.0,36.6,7.3,17.0,0.43,3.1,7.7,0.401,4.2,9.3,0.45399999999999996,0.521,4.3,5.2,0.8220000000000001,0.9,4.7,5.7,3.3,2.0,0.5,2.7,2.9,21.9,8,OKC,30560700.0
Quincy Pondexter\pondequ01,408,SF,29.0,CHI,23.0,1.0,8.5,0.6,2.1,0.28600000000000003,0.1,1.0,0.136,0.5,1.2,0.40700000000000003,0.316,0.6,0.7,0.8240000000000001,0.3,0.8,1.2,0.4,0.3,0.1,0.5,1.0,2.0,346,SAS,1893447.0
Reggie Bullock\bullore01,76,SF,26.0,DET,62.0,52.0,27.9,4.3,8.8,0.489,2.0,4.5,0.445,2.3,4.3,0.536,0.603,0.6,0.8,0.7959999999999999,0.4,2.0,2.5,1.5,0.8,0.2,0.8,1.1,11.3,293,DET,2500000.0
Robert Covington\covinro01,113,SF,27.0,PHI,80.0,80.0,31.7,4.3,10.5,0.413,2.5,6.9,0.369,1.8,3.6,0.49700000000000005,0.534,1.5,1.7,0.853,0.7,4.7,5.4,2.0,1.7,0.9,1.6,3.0,12.6,130,PHI,10464092.0
Solomon Hill\hillso01,218,SF,26.0,NOP,12.0,1.0,15.6,0.9,3.4,0.268,0.3,1.8,0.19,0.6,1.7,0.35,0.317,0.3,0.5,0.5,0.8,2.3,3.0,1.8,0.6,0.1,0.8,1.8,2.4,108,NOP,12252928.0
T.J. Warren\warretj01,503,SF,24.0,PHO,65.0,65.0,33.0,8.1,16.4,0.498,0.3,1.4,0.222,7.8,15.0,0.523,0.507,3.0,3.9,0.757,1.9,3.2,5.1,1.3,1.0,0.6,1.3,2.3,19.6,115,PHO,11750000.0
Thabo Sefolosha\sefolth01,444,SF,33.0,UTA,38.0,6.0,21.2,3.1,6.3,0.49200000000000005,0.8,2.2,0.381,2.3,4.1,0.551,0.5579999999999999,1.2,1.4,0.815,0.8,3.5,4.2,0.9,1.4,0.3,0.8,1.6,8.2,209,UTA,5250000.0
Trevor Ariza\arizatr01,20,SF,32.0,HOU,67.0,67.0,33.9,4.0,9.7,0.41200000000000003,2.5,6.9,0.368,1.5,2.8,0.519,0.542,1.1,1.3,0.8540000000000001,0.5,3.9,4.4,1.6,1.5,0.2,0.8,2.0,11.7,78,PHO,15000000.0
Vince Carter\cartevi01,87,SF,41.0,SAC,58.0,5.0,17.7,2.0,4.9,0.40299999999999997,1.0,2.8,0.345,1.0,2.0,0.483,0.504,0.5,0.6,0.757,0.3,2.2,2.6,1.2,0.7,0.4,0.6,1.7,5.4,313,ATL,2393887.0
Wesley Johnson\johnswe01,262,SF,30.0,LAC,74.0,40.0,20.1,2.0,5.0,0.408,0.8,2.4,0.33899999999999997,1.2,2.6,0.47100000000000003,0.489,0.6,0.8,0.741,0.4,2.5,2.9,0.8,1.0,0.8,0.7,2.0,5.4,188,NOP,6134520.0
Wesley Matthews\matthwe02,318,SF,31.0,DAL,63.0,62.0,33.8,4.5,11.1,0.406,2.4,6.4,0.381,2.1,4.7,0.441,0.516,1.3,1.6,0.8220000000000001,0.4,2.7,3.1,2.7,1.2,0.3,1.3,2.2,12.7,55,DAL,18622514.0
Wilson Chandler\chandwi01,95,SF,30.0,DEN,74.0,71.0,31.7,3.8,8.5,0.445,1.2,3.3,0.358,2.6,5.2,0.501,0.515,1.2,1.5,0.772,1.4,4.0,5.4,2.1,0.6,0.5,1.2,2.1,10.0,100,PHI,12800562.0
